난 힘순찐 좋아 재밌어 힘순찐이 지구 부셔버리는 영화 나왔으면 좋겠다	1
"기대없이 갔다가 정말 재밌게봤네요
옆에앉은 친구는 웃다 숨넘어가는줄 ㅋㅋ
약간 아재감성사람들한테 잘맞는듯해요"	1
혹시나 했지만 역시나... 과한 음악과 과한 연기, 부족한 각본과 부족한 CG. 차고 넘치는 보지말아야할 이유들.	0
힘순찐? 힘을 숨긴 사랑꾼이라는 한국영화의 병폐	0
허무맹랑해 보일 수도 있는 이야기를 설득시키는 엄정화와 박성웅의 연기가 돋보인다. 항공기 내에서 벌어지는 액션도 스케일이 크진 않지만 볼 만 하다. 무겁고 어둡고 괜히 가오 잡는 영화들에 지쳤다면 충분히 즐겁게 볼 수 있는 영화.	1
유치한데 재밌다 명절영화 스타일 깊은 생각 절대 ㄴㄴ 생각 비우고 보는 영화 유머코드가 소소하게 재밌다 오랜만에 웃으며 영화 봤다	1
좀 빻은 장면 있는데 뇌에 힘풀고 보면 웃김	1
이름부터 맘에 안든다... 재미없는 영화의 전형.. 어린분들은 모르겠지만 예스마담이라고 있었었지..80년대중반에...	0
코미디로서 소임은 다하는데, 뻔함을 피하지 못했다. 소개란에 ‘코미디/액션’이라고 쓴 만큼, 절대 거짓말 하지 않았다. 하와이행 비행기를 타게 되는 과정부터 비행기 납치사건, 그리고 결말까지 웃음 요소가 가득했다. 부부로 호흡맞춘 엄정화-박성웅 케미가 가장 도드라졌는데, 특히 박성웅의 구강코믹연기가 압권. 그동안 악역이나 센 캐릭터 이미지로 각인시켜왔던 박성웅이었기에 ‘오케이 마담’은 “난 이것도 잘한다”고 알리는 느낌이랄까. 엄정화도 3년 공백을 무색케 하는 발랄함과 코미디, 액션까지 능수능란하게 펼치며 완벽하게 “오케이”. 비행기 납치사건이다보니 등장인물이 매우 많고, 웃음을 유발하는 캐릭터도 많다. 그렇다보니 과하게 웃기려는 캐릭터나 장치들이 많은 건 부정할 수 없다. 그럼에도 짧고 굵게 인상을 남긴 신스틸러는 김남길(자세한 건 영화를 보시라). 웃음에 너무 힘을 주다보니 상대적으로 서사나 비행기 하이재킹하는 테러범들의 존재감이 너무 뻔했다. 충분히 ‘극한직업’이나 ‘엑시트’처럼 비틀 수도 있는 부분임에도, 충분히 예상할 수 있는 흐름이었다. 신파까진 아니지만 부부애, 가족애, 동지애를 너무 강조하는 부분이나 테러범들 설정은 완성도 면에서 떨어졌다. 그렇다보니 리철승(이상윤)이 애매모호했다.	0
믿고보는 엄정화 배우님!! 건강하세요.	1
막판의 그 낭만과 애국심을 건드리는 연출을 비껴갔으면 어땠을까.. 뭔가 전작이 생각나면서 멋진 그림이 나왔을 거 같은데 그 부분은 개인적으로 살짝 아쉽지만 영화 자체는 쫄깃하고 재밌었다 근데 마냥 재미로 즐기기엔 그 강철비 내리는 땅 한가운데 사는 사람으로서 영화 보고 별의 별 생각이 다 들긴 했지만..	1
정신 못차린 영화	0
왜 우리만 냉전을 겪어야 하는가. 심지어 분단된 반쪽 땅 안에서도. . . #슬프다이런상황이 #재밌다그러면됐다 #통일을원하십니까 #무조건원한답니다	1
남 북 미 상황실에서 뭐 하나 할때마다 좌불안석 일희일비 하다가 종극에는 서류 집어던지면서 좋다고 환호하는 장면 따위가 이 영화엔 없다 이 영화는 그렇게 후지지 않다 . 꼭 잡고 놓지 않으면 너끈히 한두시간 풀어놓을 만한 줄기를 여러개 잡아놓고도 이 영화는 중심에 선 채 쓸만큼만 가져다가 쿨하게 활용한다 변죽만 울리기를 거부하는 이 감독의 야심을 난 높이 평가한다 . 전작보다 더 커진 범위에 하고자 하는 정보의 양 역시 많아져서 빌드업이 무거워진 점은 아쉽고 그것을 환기시켜야 할 유머가 종종 튀는것이 단점 . 전반부보다 후반부가 훨신 인상적이고 연기가 전반적으로 좋아서 승차감이 부드럽다.	1
주저없이 빠르게 진행된다. 잠수함 안 액션이나 바닷속 어뢰폭격 등 액션씬도 좋다. 이름 하나하나에 정성들인 작명이란 것도 티가 나고 영화 전반에 감독이 공을 많이 들인 것이 느껴진다	1
극단적인 상황과 힘의 관계로 직조한 남과 북 권력대결	1
오늘 시사회 보고 왔읍니다. 미국 , 일본 개까고 북한 미화 한국 국뽕 한 사발 + 독도 ..... 진짜 보기 힘든 영화 그나마 잠수함 액션 볼만했읍ㅋㅋ 아무튼 돈 주고 보기는 아깝슴다 ㅜㅜ	0
어어어... 다들 어디 가세요? 각국 정상들도 길을 잃고 악역도 길을 잃고 영화도 길을 잃어가는 와중에 혼자 제 갈 길 가는 잠수함 5개국의 이익 관계가 엮긴 흥미로운 한반도 전쟁 시나리오와 우리나라에선 좀처럼 시도되지 않았던 잠수함 액션신은 좋았으나, 전작과 비슷하게 과한데 타율은 낮은 유머가 몰입을 방해한다. 똥방구 개그라니 하.... 정상회담이라는 부제에 걸맞지 않게 생각보다 하는 일 없는 정상들 오히려 부함장과의 브로맨스가 좀 더 눈에 띄는 부분 5개국 각각의 복잡한 사정을 설명하기엔 설명충 역할들의 능력이 부족하다 전체적인 상황을 조율해서 설명해 줄 <사바하>의 이정재급 일타강사 설명충이 있었다면 이만큼 과감하게 갈 거였으면 조금 더 욕심내서 더 과감한 얘기를 했어도 좋았을 텐데 나쁘진 않지만 조금 부족하다. + 앞으로 모든 한국 영화는 북한 말, 연변 사투리에 자막을 달아줘라! 자막이 있는 게 이렇게 편할 줄이야!	0
잠수함 액션과 영화적 상황만큼은 분명 볼만한 가치가 있다. 롯데시네마 월드타워 시사회 w. 양우석 감독, 김종철 평론가 흐아아 시사회 왔다 제발..	1
픽션이지만 한반도 주변을 둘러싼 미 일 중의 속내를 드러낸 것 만으로도 볼 가치가 있는 영화였다. 김정은을 너무 미화한 감이 있고 섣불리 평화통일을 표방하는 듯한 뉘앙스를 준 것은 불편한 감이 있고 시나리오상 에러가 아닌가 싶다. 그래도 이 영화에 점수를 더 주고 싶은 이유는 전문가들의 감수를 받아서 아주 사실적으로 전술과 운용을 구현해낸 잠수함 액션씬들 때문이다. 어차피 관객들은 그런 부분들은 잘 모르기 때문에 기존에 영화들이 해왔던 것처럼 오로지 극적인 재미만 추구하며 말 안되게 찍을수도 있었지만 그러지 않았던것은 이영화를 정말 장난처럼 만들고 싶지 않았기 때문이지 않을까.	1
그을려 파행된 관계들을 염원으로 다시 모아 일타 강연을 펼친다.	1
아휴.. 지겹고 싫다	0
더 대담해진 양우석 감독, 현 정세에 대한 문제를 가장 직설적이고 뚜렷하게 보여준다.	1
중간에 껴서 피곤한 대한민국 한반도가 궁극적으로 해결하고자 하는 원초적 의문 우리는 ß정말 통일을 원하는가, 아니면 그런 척을 하는 것인가	1
미중 두 강대국 틈바구니 속의 남북의 선택과 나아갈 방향을 시의적절하게 고민해볼 수 있는 영화 드디어 속편이 더 나은 우리 영화의 등장	1
국뽕을 느껴도 무리 없을 만큼 빼어난 잠수함 전투신. 액션물로서의 쾌감은 단연 전작을 압도하고도 남는다.	1
반일 반미 북한미화 북한군미화 독도 국뽕 PC급 어거지 메세지 주입 신파 개연성x 군사고증엉망 끔찍한 2020최악의 영화	0
양우석 감독은 우리나라 보수의 기준을 만드는 감독 같다. 우리나라 대통령이 북한한테 경례받고 존경받고 미국한테 칭찬받고 인정받는 포지션을 취하는데. 중국이 이런 영화 만들었으면 극우 영화란 얘기를 들었을 이 영화를 좌빨 영화라고 공격하는 걸 보면, 국내 자칭 보수라는 이들의 실체가 극명히 드러난다. 정말 유치해질 수 있는 이 설정들을 최대한 커트하면서 정리하고 클라이막스로 치닫게 하기가 얼마나 힘들었을지. 감독의 노력과 뚝심에 경의를 표한다	1
님아 이 영화를 보지마오.	0
주저하지 않고 깔끔하게 확장한 속편.	1
유머강박증만 버렸다면 걸작이 되었을 것	1
반일의 1프로만이라도 반중과 안보에 힘써라. 윤미향까지 터졌는데 아직도 반일하는 거 보면 그저 레전드	0
전작과는 결이 다르지만 흥미와 긴장감을 끝까지 잘 이끌어냅니다. 이야기의 주요 인물들이 권력의 최중심부에 있는 만큼 첩보나 액션보다는 정세와 모략 위주로 내용을 이끌어 갑니다. 이 과정에서 정치적 사건이나 동북아 정황을 배경 지식으로 언급하는데, 그때마다 관객들을 위해 정우성이 설명하고 때마침 대화하던 상대가 하나둘셋 물어봐주는 장면이 꽤 여러번 나옵니다. 친절하고 필요한 부분이긴 하지만 세련되지 않은 느낌도 듭니다. 영화는 거의 후반부에 다다르기 전까진 계속해서 현실의 정세를 기반으로 가상의 정치적 사건을 펼쳐나가는 데 중점을 둡니다. 그리고 그 소재가 어느정도 정리될 때쯤부터 잠수함이라는 배경을 이용해서 긴장감과 몰입감을 주고요. 유별나진 않지만 모자라지도 않게 상황을 잘 이어갑니다. 군사 작전에 관심이 많은 분들이 보기엔 수준이 어떨 지 모르겠지만 관련 지식이 없는 입장에선 꽤 흥미진진한데다 사실적으로 느껴집니다. 우리나라 영화에선 신선한 요소이기도 하고요. 다만 전작처럼 끝에 가서 다분히 이상적인 주제를 챙기고자 하는데 이 역시 전작처럼 너무 얄팍해서 민망하기도 하고 헛웃음이 나기도 합니다. 그럼에도 진지하고 지루하게 가기 쉬운 이야깃거리를 짧지 않은 시간임에도 충분히 빠져서 보게하는 것만으로도 제몫은 하는 영화입니다. 비교대상이 반도나 살아있다가 아니더라도 같은 평가일 것 같고요.	1
들어내도 되는 구구절절이 한 바가지지만, 전작에서 ‘삐딱하게’ 율동을 보여준 감독인 점을 상기하고 고개를 끄덕였다. 게다가 한국 영화에서 잠수함 액션을 볼 수 있다는 것에 솔직히 약간 감동하기도 했다.......... ........그렇다, 여기까지다. *일단 대진운이 좋았다. 막 반도를 보고 나오던 참이었기 때문이다.	0
말도 안 되는 캐스팅이었는데, 스토리는 더 가관이다. 유머도 안 웃겨서 민망했다...내 돈...	0
정상회담이 그야말로 잠수함속 구식잡담으로 변질.	0
2편도 재미는 있지만 지나친 민족주의와 위험해보일 수 있는 주제가 있다. 그래도 한국영화에서 각자 자기 할 일 잘 하는 각국 정부관료들의 행동들은 1편처럼 시원하게 나아간다.	1
정치로 싸울 필요 없다. 그거 핑계 안 대도, 충분히 쓰레기 같은 작품이더라. (+ 국민들이 '돌아오지 말라고, 북한에서 살아라' 하며 청와대 게시판에 올린다고? 에라이. 감독 너나 다시는 돌아오지 마라, 이 XX야.)	0
드디어 북한말에 자막이 달렸다 !! . 잠수함 액션도 공을 들인게 눈에 보였고, 배우들 연기도 좋았으며, 블랙코미디스러운 콩트도 난 좋았다. . 정우성 배우님이 연기한 한 대통령 역은 크게 매력이 없어 보여 아쉬웠다. 혹은 이게 맞는 거일 수도.. . 영화에 대한 호불호 보다는, 어떤 시선을 가지고 보느냐에 따라 크게 갈릴 것 같은 영화.	1
전작의 단점을 거의 그대로 답습하며, 매력 없는 인물들이 극의 생명력을 떨어트린다.	0
누추한 곳에 귀한 분들 모시고 고작 학예회하듯.	0
분쟁이란 사투이자 야바위, 그리고 가치를 보이지만 중립을 지키고자 선택한 유머는 심히 고리타분.	0
큰 기대를 하지 않고 가벼운 마음으로 봤음에도 예상을 벗어나진 않았다. 그래도 이런 영화를 찍는 수고에 감사를 표하고 싶으며, 이 조그만 대한민국이란 나라가 미국이라는 세계를 움직이는 그들과 어떤 관계를 맺고 있는 것만으로 자부심이 든다. 그들에게 끌려가고 있든, 뭐든. - 특별함을 보이지 않는다. 강철비2라는 제목과도 상관없이 새로움이고. 점점 뒤로 갈수록 신파와 낭만과 뻔함과 국뽕은 너무나 아쉽다. 뒤에 잠수함씬들은 뭔가 쫄깃함이 있었다. 뭔가 전문성이 드러나는 대사들은 영화를 만들기에 디테일을 볼 수 있었다. 그러나 대통령의 생활 연출이나 정치인들의 설정, 피식도 할 수 없는 난데없는 유머들. 이런걸 보며 재미하겠지하는 감독은 관객의 수준을 무시한다는 생각이다. - 중간의 중국 대사관분의 연기가 기억에 남는다. 나름 재밌었던 미국 대통령도 웃음을 자아냈다. 대통령님 힘내세요. 대한민국 힘내요.	0
백퍼 망할거 같다. 제목을 강철비2라고 지은 것 자체부터가 실수다. 뿐만 아니라 정우성, 곽도원, 유연석 모두 제 몸에 맞지 않는 옷을 입고 있는 느낌이 강하게 든다	0
픽션과 오락적 관용으로 넘기기엔 정치적 색채가 짙고, 마찬가지로 특정 정치인을 겨냥한 풍자와 해학으로 넘기기엔 화장실 개그로만 무마하려 한다.	0
일 없습니다. . . . 볼일 없습니다.	0
문재인이 등짝을 맞고 트럼프가 똥을 싸고 김정은이 담배를 피는 영화가 있다?	0
1. 이 정도로 가공의 인물이 아니었을 거면 초반 40분은 절반으로 줄여도 됐을 뻔했다. 2. 중후반 1시간의 몰입도는 최상, 기대 이상의 긴장감 3. 포스터에 신정근 배우님 넣어주세요! 4. 한국말인데 자막과 함께 보는 것, 기분이 오묘하다.	1
마지막 엔딩만 제외하면 잘 만든 수작(약간 억지스러운 티가 많이 났다) 너무 분위기가 무거워지지 않도록 들어간 유머 장면이 많은데 그 때문에 원래의 분위가가 흐려지는 것이 약간 아쉽다 (고증은 개나 줘버렸지만 ㅋㅋ..)	1
얼마나 관객을 우습게 봤으면 이걸 영화라고 내놓을 생각을 했을지..? 얼마나 사람들을 개,돼지로 봤으면 아직까지 이딴식으로 정치선동을 할려고 하는지? . . . 작금의 남북관계가 최악으로 치닫고 있고 우리 수장께서 윗쪽 no.2에게 “잘난 척, 정의로운 척 역겹다” 이딴 말이나 듣고 있고 허구헌 날 노제팬반일선동 하고 있지만 위안부 할머니 등쳐먹고 피 빨아먹던 여자가 국회의원이 되서 설치고 있는 이 시국에 과연 반일감정이 먹힐거라고 내놓은건지? . . . 그 정우성이, 곽도원이, 유연석이 대체 무슨 생각을 가지고 이런 졸작에 출연했을까? 아니 애초에 신정근 배우 말고 나머지 조연배우들은 왜 나온건지도 모르겠고 연출 하나하나가 모두 신비한티비 서프라이즈 재연극 보는것 같았고 화룡점정으로 크레딧씬 찍으면서 "우매한 관중들한테 의미있는 메세지를 던졌다" 하고 혼자 뿌듯해할 감독님을 생각하니 애석함을 금할 길이 없다. . . 반도가 영화적 연출요소로만 작품성이 최악인 대인살상용 지뢰라면 강철비2는 영화적 연출, 메세지, 개그요소 모두 최악인 태어나지 말았어야 할 핵폐기물에 가깝다	0